gene_id	gene_name	transcript_id	sample	TPM	treat	batch	time_point
ENSMUSG00000032504	Pdcd6ip	ENSMUST00000111861	LM411_R2_t1	111.09	LM411	R2	t1
ENSMUSG00000032621	Srek1	ENSMUST00000074616	LM411_R2_t1	25.34	LM411	R2	t1
ENSMUSG00000032621	Srek1	ENSMUST00000210489	LM411_R2_t1	1.52	LM411	R2	t1
ENSMUSG00000032812	Arap1	ENSMUST00000084895	LM411_R2_t1	4.41	LM411	R2	t1
ENSMUSG00000032812	Arap1	ENSMUST00000084896	LM411_R2_t1	3.44	LM411	R2	t1
ENSMUSG00000032812	Arap1	ENSMUST00000107010	LM411_R2_t1	7.77	LM411	R2	t1
ENSMUSG00000032946	Rasgrp2	ENSMUST00000035716	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000032946	Rasgrp2	ENSMUST00000113471	LM411_R2_t1	3.28	LM411	R2	t1
ENSMUSG00000032946	Rasgrp2	ENSMUST00000113472	LM411_R2_t1	0.54	LM411	R2	t1
ENSMUSG00000032946	Rasgrp2	ENSMUST00000113476	LM411_R2_t1	0.35	LM411	R2	t1
ENSMUSG00000032946	Rasgrp2	ENSMUST00000152022	LM411_R2_t1	0.17	LM411	R2	t1
ENSMUSG00000032946	Rasgrp2	ENSMUST00000167240	LM411_R2_t1	1.72	LM411	R2	t1
ENSMUSG00000033014	Trim33	ENSMUST00000029444	LM411_R2_t1	3.96	LM411	R2	t1
ENSMUSG00000033014	Trim33	ENSMUST00000106860	LM411_R2_t1	14.08	LM411	R2	t1
ENSMUSG00000033016	Nfatc1	ENSMUST00000035800	LM411_R2_t1	3.83	LM411	R2	t1
ENSMUSG00000033016	Nfatc1	ENSMUST00000078049	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000033016	Nfatc1	ENSMUST00000167977	LM411_R2_t1	4.15	LM411	R2	t1
ENSMUSG00000033016	Nfatc1	ENSMUST00000236310	LM411_R2_t1	9.54	LM411	R2	t1
ENSMUSG00000033016	Nfatc1	ENSMUST00000236711	LM411_R2_t1	9.84	LM411	R2	t1
ENSMUSG00000033088	Triobp	ENSMUST00000109687	LM411_R2_t1	22.01	LM411	R2	t1
ENSMUSG00000033088	Triobp	ENSMUST00000130663	LM411_R2_t1	2.71	LM411	R2	t1
ENSMUSG00000033705	Stard9	ENSMUST00000070420	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000033705	Stard9	ENSMUST00000129384	LM411_R2_t1	0.22	LM411	R2	t1
ENSMUSG00000033705	Stard9	ENSMUST00000140843	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000033705	Stard9	ENSMUST00000154193	LM411_R2_t1	0.18	LM411	R2	t1
ENSMUSG00000033705	Stard9	ENSMUST00000180041	LM411_R2_t1	0.07	LM411	R2	t1
ENSMUSG00000033847	Pla2g4c	ENSMUST00000043612	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000033847	Pla2g4c	ENSMUST00000108528	LM411_R2_t1	0.33	LM411	R2	t1
ENSMUSG00000033847	Pla2g4c	ENSMUST00000167232	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000033916	Chmp2a	ENSMUST00000005711	LM411_R2_t1	121.62	LM411	R2	t1
ENSMUSG00000033916	Chmp2a	ENSMUST00000210587	LM411_R2_t1	32.15	LM411	R2	t1
ENSMUSG00000034088	Hdlbp	ENSMUST00000042498	LM411_R2_t1	69.87	LM411	R2	t1
ENSMUSG00000034088	Hdlbp	ENSMUST00000170883	LM411_R2_t1	16.73	LM411	R2	t1
ENSMUSG00000035278	Plekhj1	ENSMUST00000036805	LM411_R2_t1	52.28	LM411	R2	t1
ENSMUSG00000035278	Plekhj1	ENSMUST00000219767	LM411_R2_t1	32.06	LM411	R2	t1
ENSMUSG00000035325	Sec31a	ENSMUST00000094578	LM411_R2_t1	47.36	LM411	R2	t1
ENSMUSG00000035325	Sec31a	ENSMUST00000182886	LM411_R2_t1	2.05	LM411	R2	t1
ENSMUSG00000035325	Sec31a	ENSMUST00000182988	LM411_R2_t1	6.21	LM411	R2	t1
ENSMUSG00000035356	Nfkbiz	ENSMUST00000114457	LM411_R2_t1	0.91	LM411	R2	t1
ENSMUSG00000035356	Nfkbiz	ENSMUST00000114458	LM411_R2_t1	40.13	LM411	R2	t1
ENSMUSG00000036052	Dnajb5	ENSMUST00000084662	LM411_R2_t1	1.21	LM411	R2	t1
ENSMUSG00000036052	Dnajb5	ENSMUST00000098112	LM411_R2_t1	4.09	LM411	R2	t1
ENSMUSG00000036052	Dnajb5	ENSMUST00000107973	LM411_R2_t1	15.84	LM411	R2	t1
ENSMUSG00000036052	Dnajb5	ENSMUST00000142332	LM411_R2_t1	2.01	LM411	R2	t1
ENSMUSG00000038011	Dnah10	ENSMUST00000058440	LM411_R2_t1	0.05	LM411	R2	t1
ENSMUSG00000038011	Dnah10	ENSMUST00000141137	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000038011	Dnah10	ENSMUST00000196708	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000038172	Ttc39b	ENSMUST00000048274	LM411_R2_t1	16.55	LM411	R2	t1
ENSMUSG00000038172	Ttc39b	ENSMUST00000102823	LM411_R2_t1	21	LM411	R2	t1
ENSMUSG00000038623	Tm6sf1	ENSMUST00000041890	LM411_R2_t1	0.32	LM411	R2	t1
ENSMUSG00000038623	Tm6sf1	ENSMUST00000119543	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000038623	Tm6sf1	ENSMUST00000124616	LM411_R2_t1	0.1	LM411	R2	t1
ENSMUSG00000038623	Tm6sf1	ENSMUST00000130006	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000038623	Tm6sf1	ENSMUST00000134861	LM411_R2_t1	0	LM411	R2	t1
ENSMUSG00000038623	Tm6sf1	ENSMUST00000147977	LM411_R2_t1	0.07	LM411	R2	t1
ENSMUSG00000038708	Golga4	ENSMUST00000084820	LM411_R2_t1	13.4	LM411	R2	t1
ENSMUSG00000038708	Golga4	ENSMUST00000211840	LM411_R2_t1	5.32	LM411	R2	t1
ENSMUSG00000039114	Nrn1	ENSMUST00000037623	LM411_R2_t1	0.42	LM411	R2	t1
ENSMUSG00000039114	Nrn1	ENSMUST00000223611	LM411_R2_t1	0.64	LM411	R2	t1
ENSMUSG00000039201	Tbc1d25	ENSMUST00000039892	LM411_R2_t1	3.17	LM411	R2	t1
